source name	characteristics[organism]	characteristics[organism part]	characteristics[sex]	characteristics[age]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[material type]	characteristics[cell type]	characteristics[disease]	characteristics[macrophage type]	characteristics[LPS stimulation]	assay name	technology type	comment[label]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[fractionation method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[macrophage type]	factor value[LPS treatment]
M_BMM_biorep1	Mus musculus	bone marrow	male	5-10 weeks	adult	1	cell	macrophage	normal	M-CSF macrophage	untreated	20131128_Macrophage_set1_FN_2_01	proteomic profiling by mass spectrometry	TMT128	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002582/20131128_Macrophage_set1_FN_2_01.raw	2	1	NT=Q Exactive;AC=MS:1001911	NT=TMT4plex;PP=Any N-term;AC=UNIMOD:214;MT=fixed	NT=TMT4plex;TA=K;AC=UNIMOD:214;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Trypsin	0.8 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=PRIDE:0000590	peptide isoelectric focusing	20131128_Macrophage_set1_FN_2_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	M-CSF macrophage	untreated
M_BMM_LPS_biorep1	Mus musculus	bone marrow	male	5-10 weeks	adult	1	cell	macrophage	normal	M-CSF macrophage	LPS treated	20131128_Macrophage_set1_FN_2_01	proteomic profiling by mass spectrometry	TMT129	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002582/20131128_Macrophage_set1_FN_2_01.raw	2	1	NT=Q Exactive;AC=MS:1001911	NT=TMT4plex;PP=Any N-term;AC=UNIMOD:214;MT=fixed	NT=TMT4plex;TA=K;AC=UNIMOD:214;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Trypsin	0.8 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=PRIDE:0000590	peptide isoelectric focusing	20131128_Macrophage_set1_FN_2_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	M-CSF macrophage	LPS treated
GM_BMM_biorep1	Mus musculus	bone marrow	male	5-10 weeks	adult	1	cell	macrophage	normal	GM-CSF macrophage	untreated	20131128_Macrophage_set1_FN_2_02	proteomic profiling by mass spectrometry	TMT126	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002582/20131128_Macrophage_set1_FN_2_02.raw	2	2	NT=Q Exactive;AC=MS:1001911	NT=TMT4plex;PP=Any N-term;AC=UNIMOD:214;MT=fixed	NT=TMT4plex;TA=K;AC=UNIMOD:214;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Trypsin	0.8 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=PRIDE:0000590	peptide isoelectric focusing	20131128_Macrophage_set1_FN_2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GM-CSF macrophage	untreated
GM_BMM_LPS_biorep1	Mus musculus	bone marrow	male	5-10 weeks	adult	1	cell	macrophage	normal	GM-CSF macrophage	LPS treated	20131128_Macrophage_set1_FN_2_02	proteomic profiling by mass spectrometry	TMT127	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002582/20131128_Macrophage_set1_FN_2_02.raw	2	2	NT=Q Exactive;AC=MS:1001911	NT=TMT4plex;PP=Any N-term;AC=UNIMOD:214;MT=fixed	NT=TMT4plex;TA=K;AC=UNIMOD:214;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Trypsin	0.8 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=PRIDE:0000590	peptide isoelectric focusing	20131128_Macrophage_set1_FN_2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GM-CSF macrophage	LPS treated
M_BMM_biorep1	Mus musculus	bone marrow	male	5-10 weeks	adult	1	cell	macrophage	normal	M-CSF macrophage	untreated	20131128_Macrophage_set1_FN_2_02	proteomic profiling by mass spectrometry	TMT128	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002582/20131128_Macrophage_set1_FN_2_02.raw	2	2	NT=Q Exactive;AC=MS:1001911	NT=TMT4plex;PP=Any N-term;AC=UNIMOD:214;MT=fixed	NT=TMT4plex;TA=K;AC=UNIMOD:214;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Trypsin	0.8 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=PRIDE:0000590	peptide isoelectric focusing	20131128_Macrophage_set1_FN_2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	M-CSF macrophage	untreated
M_BMM_LPS_biorep1	Mus musculus	bone marrow	male	5-10 weeks	adult	1	cell	macrophage	normal	M-CSF macrophage	LPS treated	20131128_Macrophage_set1_FN_2_02	proteomic profiling by mass spectrometry	TMT129	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002582/20131128_Macrophage_set1_FN_2_02.raw	2	2	NT=Q Exactive;AC=MS:1001911	NT=TMT4plex;PP=Any N-term;AC=UNIMOD:214;MT=fixed	NT=TMT4plex;TA=K;AC=UNIMOD:214;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Trypsin	0.8 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=PRIDE:0000590	peptide isoelectric focusing	20131128_Macrophage_set1_FN_2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	M-CSF macrophage	LPS treated
GM_BMM_biorep1	Mus musculus	bone marrow	male	5-10 weeks	adult	1	cell	macrophage	normal	GM-CSF macrophage	untreated	20131128_Macrophage_set1_FN_3_01	proteomic profiling by mass spectrometry	TMT126	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002582/20131128_Macrophage_set1_FN_3_01.raw	3	1	NT=Q Exactive;AC=MS:1001911	NT=TMT4plex;PP=Any N-term;AC=UNIMOD:214;MT=fixed	NT=TMT4plex;TA=K;AC=UNIMOD:214;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Trypsin	0.8 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=PRIDE:0000590	peptide isoelectric focusing	20131128_Macrophage_set1_FN_3_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GM-CSF macrophage	untreated
GM_BMM_LPS_biorep1	Mus musculus	bone marrow	male	5-10 weeks	adult	1	cell	macrophage	normal	GM-CSF macrophage	LPS treated	20131128_Macrophage_set1_FN_3_01	proteomic profiling by mass spectrometry	TMT127	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002582/20131128_Macrophage_set1_FN_3_01.raw	3	1	NT=Q Exactive;AC=MS:1001911	NT=TMT4plex;PP=Any N-term;AC=UNIMOD:214;MT=fixed	NT=TMT4plex;TA=K;AC=UNIMOD:214;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Trypsin	0.8 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=PRIDE:0000590	peptide isoelectric focusing	20131128_Macrophage_set1_FN_3_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GM-CSF macrophage	LPS treated
M_BMM_biorep1	Mus musculus	bone marrow	male	5-10 weeks	adult	1	cell	macrophage	normal	M-CSF macrophage	untreated	20131128_Macrophage_set1_FN_3_01	proteomic profiling by mass spectrometry	TMT128	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002582/20131128_Macrophage_set1_FN_3_01.raw	3	1	NT=Q Exactive;AC=MS:1001911	NT=TMT4plex;PP=Any N-term;AC=UNIMOD:214;MT=fixed	NT=TMT4plex;TA=K;AC=UNIMOD:214;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Trypsin	0.8 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=PRIDE:0000590	peptide isoelectric focusing	20131128_Macrophage_set1_FN_3_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	M-CSF macrophage	untreated
M_BMM_LPS_biorep1	Mus musculus	bone marrow	male	5-10 weeks	adult	1	cell	macrophage	normal	M-CSF macrophage	LPS treated	20131128_Macrophage_set1_FN_3_01	proteomic profiling by mass spectrometry	TMT129	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002582/20131128_Macrophage_set1_FN_3_01.raw	3	1	NT=Q Exactive;AC=MS:1001911	NT=TMT4plex;PP=Any N-term;AC=UNIMOD:214;MT=fixed	NT=TMT4plex;TA=K;AC=UNIMOD:214;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Trypsin	0.8 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=PRIDE:0000590	peptide isoelectric focusing	20131128_Macrophage_set1_FN_3_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	M-CSF macrophage	LPS treated
GM_BMM_biorep1	Mus musculus	bone marrow	male	5-10 weeks	adult	1	cell	macrophage	normal	GM-CSF macrophage	untreated	20131128_Macrophage_set1_FN_3_02	proteomic profiling by mass spectrometry	TMT126	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002582/20131128_Macrophage_set1_FN_3_02.raw	3	2	NT=Q Exactive;AC=MS:1001911	NT=TMT4plex;PP=Any N-term;AC=UNIMOD:214;MT=fixed	NT=TMT4plex;TA=K;AC=UNIMOD:214;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Trypsin	0.8 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=PRIDE:0000590	peptide isoelectric focusing	20131128_Macrophage_set1_FN_3_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GM-CSF macrophage	untreated
GM_BMM_LPS_biorep1	Mus musculus	bone marrow	male	5-10 weeks	adult	1	cell	macrophage	normal	GM-CSF macrophage	LPS treated	20131128_Macrophage_set1_FN_3_02	proteomic profiling by mass spectrometry	TMT127	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002582/20131128_Macrophage_set1_FN_3_02.raw	3	2	NT=Q Exactive;AC=MS:1001911	NT=TMT4plex;PP=Any N-term;AC=UNIMOD:214;MT=fixed	NT=TMT4plex;TA=K;AC=UNIMOD:214;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Trypsin	0.8 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=PRIDE:0000590	peptide isoelectric focusing	20131128_Macrophage_set1_FN_3_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GM-CSF macrophage	LPS treated
M_BMM_biorep1	Mus musculus	bone marrow	male	5-10 weeks	adult	1	cell	macrophage	normal	M-CSF macrophage	untreated	20131128_Macrophage_set1_FN_3_02	proteomic profiling by mass spectrometry	TMT128	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002582/20131128_Macrophage_set1_FN_3_02.raw	3	2	NT=Q Exactive;AC=MS:1001911	NT=TMT4plex;PP=Any N-term;AC=UNIMOD:214;MT=fixed	NT=TMT4plex;TA=K;AC=UNIMOD:214;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Trypsin	0.8 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=PRIDE:0000590	peptide isoelectric focusing	20131128_Macrophage_set1_FN_3_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	M-CSF macrophage	untreated
M_BMM_LPS_biorep1	Mus musculus	bone marrow	male	5-10 weeks	adult	1	cell	macrophage	normal	M-CSF macrophage	LPS treated	20131128_Macrophage_set1_FN_3_02	proteomic profiling by mass spectrometry	TMT129	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002582/20131128_Macrophage_set1_FN_3_02.raw	3	2	NT=Q Exactive;AC=MS:1001911	NT=TMT4plex;PP=Any N-term;AC=UNIMOD:214;MT=fixed	NT=TMT4plex;TA=K;AC=UNIMOD:214;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Trypsin	0.8 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=PRIDE:0000590	peptide isoelectric focusing	20131128_Macrophage_set1_FN_3_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	M-CSF macrophage	LPS treated
GM_BMM_biorep1	Mus musculus	bone marrow	male	5-10 weeks	adult	1	cell	macrophage	normal	GM-CSF macrophage	untreated	20131128_Macrophage_set1_FN_4_01	proteomic profiling by mass spectrometry	TMT126	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002582/20131128_Macrophage_set1_FN_4_01.raw	4	1	NT=Q Exactive;AC=MS:1001911	NT=TMT4plex;PP=Any N-term;AC=UNIMOD:214;MT=fixed	NT=TMT4plex;TA=K;AC=UNIMOD:214;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Trypsin	0.8 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=PRIDE:0000590	peptide isoelectric focusing	20131128_Macrophage_set1_FN_4_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GM-CSF macrophage	untreated
GM_BMM_LPS_biorep1	Mus musculus	bone marrow	male	5-10 weeks	adult	1	cell	macrophage	normal	GM-CSF macrophage	LPS treated	20131128_Macrophage_set1_FN_4_01	proteomic profiling by mass spectrometry	TMT127	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002582/20131128_Macrophage_set1_FN_4_01.raw	4	1	NT=Q Exactive;AC=MS:1001911	NT=TMT4plex;PP=Any N-term;AC=UNIMOD:214;MT=fixed	NT=TMT4plex;TA=K;AC=UNIMOD:214;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Trypsin	0.8 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=PRIDE:0000590	peptide isoelectric focusing	20131128_Macrophage_set1_FN_4_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GM-CSF macrophage	LPS treated
M_BMM_biorep1	Mus musculus	bone marrow	male	5-10 weeks	adult	1	cell	macrophage	normal	M-CSF macrophage	untreated	20131128_Macrophage_set1_FN_4_01	proteomic profiling by mass spectrometry	TMT128	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002582/20131128_Macrophage_set1_FN_4_01.raw	4	1	NT=Q Exactive;AC=MS:1001911	NT=TMT4plex;PP=Any N-term;AC=UNIMOD:214;MT=fixed	NT=TMT4plex;TA=K;AC=UNIMOD:214;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Trypsin	0.8 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=PRIDE:0000590	peptide isoelectric focusing	20131128_Macrophage_set1_FN_4_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	M-CSF macrophage	untreated
